scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"2,2",-0.03702696326531332,-0.19322377967065124
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"0,0",-0.0234566569266015,-0.12745734774398304
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"0,1",-0.44937251872975775,-0.5885334575660492
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"0,2",0.17179143248423848,0.5284986944423185
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"1,1",-0.03311144386109318,-0.20130379120178274
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"1,2",0.15191167206083694,0.5523170930721988
growth,0,0,true,poisson_separate,g21_o2,21,False,True,"2,2",-0.04216924674525187,-0.21999088025447627
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"0,0",-0.02332226782194329,-0.15797216798319483
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"0,1",-0.0014146103532664302,-0.012551681659559544
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"0,2",0.04294685339282115,0.4194820339818849
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"1,1",-0.010983585828336364,-0.06101955851117058
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"1,2",-0.0427890669662872,-0.4442004344302567
growth,0,0,true,poisson_separate,g09_o1,9,False,False,"2,2",-0.04232686999362557,-0.2145510439101179
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"0,0",-0.03632277331739339,-0.2244617525585789
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"0,1",-0.045414017164528635,-0.31035244391654193
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"0,2",0.043570894681935875,0.5511790728352597
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"1,1",-0.034436150449389094,-0.19749501045817935
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"1,2",-0.0161869698639489,-0.1351109161672164
growth,0,0,true,poisson_separate,g19_o1,19,False,True,"2,2",-0.04829759038758854,-0.24750789995631312
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"0,0",-0.018757668087005457,-0.1260675931407314
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"0,1",-0.3947817635779937,-0.6017733309630482
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"0,2",0.1774059019555405,0.545002613773308
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"1,1",-0.03188054135368225,-0.19629688229762574
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"1,2",0.15944778865447076,0.5716659191468103
growth,0,0,true,poisson_separate,g08_o1,8,False,True,"2,2",-0.08477579185682847,-0.3949109917809974
growth,0,0,true,poisson_separate,g18_o1,18,False,True,"0,0",-0.006937119549365691,-0.047658360924211905
growth,0,0,true,poisson_separate,g18_o1,18,False,True,"0,1",-0.41092517640707493,-0.6073816275951317
growth,0,0,true,poisson_separate,g18_o1,18,False,True,"0,2",0.179082809794335,0.5458126022064144
growth,0,0,true,poisson_separate,g18_o1,18,False,True,"1,1",-0.029962010760614777,-0.1867472590992462
